"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3400","User login with correct email and password","LMS system","Thu Nov 13 16:37:41 UTC 2025","passed","Thu Nov 13 16:37:45 UTC 2025","Authorisation","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","Thu Nov 13 16:37:52 UTC 2025","passed","Thu Nov 13 16:37:52 UTC 2025","TestUserInterface","test_markers","",""
"","3300","Edit course","LMS system","Thu Nov 13 16:37:49 UTC 2025","passed","Thu Nov 13 16:37:52 UTC 2025","Courses","Courses","",""
"","1602","Navigation from login page to registration page","LMS system","Thu Nov 13 16:37:43 UTC 2025","passed","Thu Nov 13 16:37:45 UTC 2025","Authorisation","Authentication","",""
"","1862","Registration with correct email, username and password","LMS system","Thu Nov 13 16:37:45 UTC 2025","passed","Thu Nov 13 16:37:47 UTC 2025","Registration","Authentication","",""
"","1","test_regression_case","tests.pytest","Thu Nov 13 16:37:52 UTC 2025","passed","Thu Nov 13 16:37:52 UTC 2025","","test_markers","",""
"","2060","User login with wrong email or password","LMS system","Thu Nov 13 16:37:39 UTC 2025","passed","Thu Nov 13 16:37:41 UTC 2025","Authorisation","Authentication","",""
"","2744","Create course","LMS system","Thu Nov 13 16:37:49 UTC 2025","passed","Thu Nov 13 16:37:51 UTC 2025","Courses","Courses","",""
"","1502","Check displaying of empty courses list","LMS system","Thu Nov 13 16:37:47 UTC 2025","passed","Thu Nov 13 16:37:48 UTC 2025","Courses","Courses","",""
"","1986","User login with wrong email or password","LMS system","Thu Nov 13 16:37:39 UTC 2025","passed","Thu Nov 13 16:37:41 UTC 2025","Authorisation","Authentication","",""
"","0","test_login","tests.pytest","Thu Nov 13 16:37:52 UTC 2025","passed","Thu Nov 13 16:37:52 UTC 2025","TestUserAuthentication","test_markers","",""
"","1705","User login with wrong email or password","LMS system","Thu Nov 13 16:37:41 UTC 2025","passed","Thu Nov 13 16:37:43 UTC 2025","Authorisation","Authentication","",""
"","0","test_password_reset","tests.pytest","Thu Nov 13 16:37:52 UTC 2025","passed","Thu Nov 13 16:37:52 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_critical_login","tests.pytest","Thu Nov 13 16:37:52 UTC 2025","passed","Thu Nov 13 16:37:52 UTC 2025","","test_markers","",""
"","0","test_logout","tests.pytest","Thu Nov 13 16:37:52 UTC 2025","passed","Thu Nov 13 16:37:52 UTC 2025","TestUserAuthentication","test_markers","",""
"","1493","Check displaying of dashboard page","LMS system","Thu Nov 13 16:37:53 UTC 2025","passed","Thu Nov 13 16:37:54 UTC 2025","Dashboard","Dashboard","",""
