"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 01 16:51:09 GMT 2025","Sat Nov 01 16:51:12 GMT 2025","2129","LMS system","Authentication","Authorisation","","","User login with wrong email or password",""
"passed","Sat Nov 01 16:51:22 GMT 2025","Sat Nov 01 16:51:23 GMT 2025","1570","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Sat Nov 01 16:51:13 GMT 2025","Sat Nov 01 16:51:15 GMT 2025","1527","LMS system","Authentication","Authorisation","","","Navigation from login page to registration page",""
"passed","Sat Nov 01 16:51:22 GMT 2025","Sat Nov 01 16:51:22 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Sat Nov 01 16:51:23 GMT 2025","Sat Nov 01 16:51:23 GMT 2025","1","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Sat Nov 01 16:51:18 GMT 2025","Sat Nov 01 16:51:21 GMT 2025","2654","LMS system","Courses","Courses","","","Create course",""
"passed","Sat Nov 01 16:51:17 GMT 2025","Sat Nov 01 16:51:18 GMT 2025","1392","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sat Nov 01 16:51:12 GMT 2025","Sat Nov 01 16:51:15 GMT 2025","2912","LMS system","Authentication","Authorisation","","","User login with correct email and password",""
"passed","Sat Nov 01 16:51:22 GMT 2025","Sat Nov 01 16:51:22 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Sat Nov 01 16:51:12 GMT 2025","Sat Nov 01 16:51:13 GMT 2025","1368","LMS system","Authentication","Authorisation","","","User login with wrong email or password",""
"passed","Sat Nov 01 16:51:22 GMT 2025","Sat Nov 01 16:51:22 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Sat Nov 01 16:51:22 GMT 2025","Sat Nov 01 16:51:22 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Sat Nov 01 16:51:22 GMT 2025","Sat Nov 01 16:51:22 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Sat Nov 01 16:51:09 GMT 2025","Sat Nov 01 16:51:11 GMT 2025","1744","LMS system","Authentication","Authorisation","","","User login with wrong email or password",""
"passed","Sat Nov 01 16:51:15 GMT 2025","Sat Nov 01 16:51:17 GMT 2025","1804","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Sat Nov 01 16:51:19 GMT 2025","Sat Nov 01 16:51:22 GMT 2025","3313","LMS system","Courses","Courses","","","Edit course",""
